==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.802523,0.065344,,,,,,,,,,,,,,"TITAN Xp (0)",,,"13","0x7f54d8020000","[Unified Memory GPU page faults]",
1.802567,0.004000,,,,,,,,,,,,,,"TITAN Xp (0)",,,24576.000000,"0x7f54d8020000","[Unified Memory Memcpy HtoD]",
1.802571,0.009984,,,,,,,,,,,,,,"TITAN Xp (0)",,,106496.000000,"0x7f54d8026000","[Unified Memory Memcpy HtoD]",
1.802590,0.057600,,,,,,,,,,,,,,"TITAN Xp (0)",,,"1","0x7f54d8045000","[Unified Memory GPU page faults]",
1.802592,0.082432,,,,,,,,,,,,,,"TITAN Xp (0)",,,"11","0x7f54d8040000","[Unified Memory GPU page faults]",
1.802621,0.003616,,,,,,,,,,,,,,"TITAN Xp (0)",,,20480.000000,"0x7f54d8040000","[Unified Memory Memcpy HtoD]",
1.802625,0.000992,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8045000","[Unified Memory Memcpy HtoD]",
1.802626,0.009600,,,,,,,,,,,,,,"TITAN Xp (0)",,,102400.000000,"0x7f54d8046000","[Unified Memory Memcpy HtoD]",
1.802675,0.206016,,,,,,,,,,,,,,"TITAN Xp (0)",,,"2","0x7f54d805f000","[Unified Memory GPU page faults]",
1.802677,0.361472,,,,,,,,,,,,,,"TITAN Xp (0)",,,"3","0x7f54d805f000","[Unified Memory GPU page faults]",
1.802720,1.744070,506,1,1,192,1,1,58,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_compute_flux(int, int*, float*, float*, float*)",156
1.802740,0.002080,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d805f000","[Unified Memory Memcpy HtoD]",
1.802742,0.001152,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8061000","[Unified Memory Memcpy HtoD]",
1.802743,0.001152,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8062000","[Unified Memory Memcpy HtoD]",
