==8162== NVPROF is profiling process 8162, command: ./cuda-stream
==8162== Profiling application: ./cuda-stream
==8162== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
367.18ms  1.8436ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [431]
369.04ms  1.2319ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [440]
370.28ms  1.0560us                    -               -         -         -         -  2.0000KB  1.8062GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
370.30ms  1.2363ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [447]
371.54ms  1.2377ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [454]
372.79ms  1.8435ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [462]
374.65ms  1.8439ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [470]
376.51ms  1.2312ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [479]
377.75ms  1.0560us                    -               -         -         -         -  2.0000KB  1.8062GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
377.76ms  1.2357ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [486]
379.01ms  1.2371ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [493]
