==180392== NVPROF is profiling process 180392, command: ./cuda-stream
==180392== Profiling application: ./cuda-stream
==180392== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
420.32ms  1.8392ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [618]
422.17ms  1.8377ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [626]
424.02ms  1.2272ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [635]
425.25ms  1.4080us                    -               -         -         -         -  2.0000KB  1.3547GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
425.27ms  1.2354ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [642]
426.51ms  1.2378ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [649]
427.76ms  1.8430ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [657]
429.62ms  1.8432ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [665]
431.48ms  1.2334ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [674]
432.71ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
432.73ms  1.2345ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [681]
433.98ms  1.2381ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [688]
435.23ms  1.8431ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [696]
437.08ms  1.8426ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [704]
438.94ms  1.2329ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [713]
440.17ms  1.0560us                    -               -         -         -         -  2.0000KB  1.8062GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
440.19ms  1.2351ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [720]
441.44ms  1.2384ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [727]
442.69ms  1.8436ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [735]
444.55ms  1.8435ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [743]
446.40ms  1.2318ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [752]
447.64ms  1.0560us                    -               -         -         -         -  2.0000KB  1.8062GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
447.66ms  1.2352ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [759]
448.90ms  1.2377ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [766]
450.15ms  1.8386ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [774]
452.01ms  1.8388ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [782]
453.86ms  1.2252ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [791]
455.09ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
455.10ms  1.2355ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [798]
456.35ms  1.2376ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [805]
457.60ms  1.8427ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [813]
459.46ms  1.8414ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [821]
461.31ms  1.2301ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [830]
462.55ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
462.56ms  1.2343ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [837]
463.81ms  1.2389ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [844]
